0,CombatZoneResize,274,210,370,307,TLResume,,,,,,,,
0,HeartTeleport,C
0,HeartMode,8,,,,,,,,,,,,
0,TLPause

1,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

0.25,BlueSpear,0,400
0.25,BlueSpear,1,400
0.25,BlueSpear,2,400
0.25,BlueSpear,3,400

2,EndAttack
