0,CombatZoneResize,239,226,404,391,TLResume
0,HeartTeleport,C
0,HeartMode,0,,,,,,
0,TLPause

0.5,BoneSL,B,229,391,60,0,0,125,0,0,0,0.1,0.05,5
1,BoneSL,T,414,226,60,0,180,125,0,0,0,0.1,0.05,5
1,BoneSL,L,239,216,60,0,90,125,0,0,0,0.1,0.05,5
1,BoneSL,R,404,401,60,0,270,125,0,0,0,0.1,0.05,5


1,BoneWB,B,229,391,50,0,0,125,0,0,0,1,16,0,
1,BoneWB,T,414,226,50,0,180,125,0,0,0,1,16,0,
1,BoneWB,L,239,216,50,0,90,125,0,0,0,1,16,0,
1,BoneWB,R,404,401,50,0,270,125,0,0,0,1,16,0,


1,BonePW,B,229,391,30,0,0,125,0,0,0,60,30,1,1
1,BonePW,T,414,226,30,0,180,125,0,0,0,60,30,1,1
1,BonePW,L,239,216,30,0,90,125,0,0,0,60,30,1,1
1,BonePW,R,404,401,30,0,270,125,0,0,0,60,30,1,1

2,CombatZoneResize,133,251,508,391

1,WaveBones,B,518,391,50,0,180,200,0,3,15,0,0,1.6,15,0,15
2,WaveBones,T,123,251,50,0,00,200,0,12,15,0,0,1.5,16,0,8

3,EndAttack
